City,Date,Temperature,Humidity
Hanoi,2025-10-14,21.3,68
Hanoi,2025-10-15,23.4,64
Hanoi,2025-10-16,28.4,81
Hanoi,2025-10-17,28.4,77
Hanoi,2025-10-18,21.9,73
Hanoi,2025-10-19,21.3,62
Hanoi,2025-10-20,23.2,76
Hanoi,2025-10-21,27.0,77
Hanoi,2025-10-22,23.0,80
Hanoi,2025-10-23,28.0,73
Ho Chi Minh City,2025-10-14,27.5,68
Ho Chi Minh City,2025-10-15,31.1,60
Ho Chi Minh City,2025-10-16,30.6,65
Ho Chi Minh City,2025-10-17,30.0,70
Ho Chi Minh City,2025-10-18,25.8,66
Ho Chi Minh City,2025-10-19,32.6,70
Ho Chi Minh City,2025-10-20,24.0,72
Ho Chi Minh City,2025-10-21,24.0,87
Ho Chi Minh City,2025-10-22,26.4,68
Ho Chi Minh City,2025-10-23,31.1,83
Da Nang,2025-10-14,32.4,89
Da Nang,2025-10-15,30.8,77
Da Nang,2025-10-16,29.9,80
Da Nang,2025-10-17,33.2,87
Da Nang,2025-10-18,30.6,66
Da Nang,2025-10-19,34.0,61
Da Nang,2025-10-20,33.6,84
Da Nang,2025-10-21,29.9,62
Da Nang,2025-10-22,35.6,87
Da Nang,2025-10-23,28.0,68
Can Tho,2025-10-14,33.4,71
Can Tho,2025-10-15,28.6,71
Can Tho,2025-10-16,29.1,68
Can Tho,2025-10-17,34.0,81
Can Tho,2025-10-18,33.5,79
Can Tho,2025-10-19,33.3,77
Can Tho,2025-10-20,34.3,65
Can Tho,2025-10-21,31.6,68
Can Tho,2025-10-22,36.9,80
Can Tho,2025-10-23,33.9,67
Hai Phong,2025-10-14,33.4,84
Hai Phong,2025-10-15,25.6,86
Hai Phong,2025-10-16,25.3,70
Hai Phong,2025-10-17,29.0,62
Hai Phong,2025-10-18,27.1,90
Hai Phong,2025-10-19,30.7,82
Hai Phong,2025-10-20,28.1,80
Hai Phong,2025-10-21,30.0,88
Hai Phong,2025-10-22,34.1,74
Hai Phong,2025-10-23,26.4,64
